employee_name,gender,start_leave_date,to_leave_date,leave_type,manager_name,team_name
'Sherlock Mc Gaughey',male,2022-01-24,2022-01-25,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-01-25,2022-01-27,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-01-26,2022-01-26,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-01-17,2023-01-17,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-02-16,2023-02-17,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-04-11,2023-04-12,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-04-16,2023-04-16,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-04-02,2023-04-03,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-03-04,2023-03-06,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-05-19,2023-05-21,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-06-10,2023-06-11,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-03-15,2023-03-17,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-05-12,2023-05-13,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-05-04,2023-05-04,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-02-06,2023-02-07,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-05-18,2023-05-19,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2023-03-07,2023-03-07,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-09-22,2022-09-22,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-10-21,2022-10-21,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-11-10,2022-11-11,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-07-26,2022-07-27,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-09-27,2022-09-29,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-10-05,2022-10-06,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-12-05,2022-12-07,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2022-07-07,2022-07-09,'Earned leave','Rebecca Davis',Security
'Stormie Carek',male,2022-02-08,2022-02-10,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-05-02,2022-05-03,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-04-09,2022-04-09,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-02-23,2022-02-24,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-01-26,2022-01-27,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-04-20,2022-04-21,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-02-12,2022-02-13,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-06-18,2022-06-19,'Casual Leave','Rebecca Davis',Finance
