employee_name,gender,leave_dates,leave_duration,leave_type,manager_name,team_name
'Sherlock Mc Gaughey',male,1/24/2022,1.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,1/25/2022,2.0,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,1/26/2022,0.5,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,1/17/2023,0.5,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2/16/2023,1.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,4/11/2023,1.0,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,4/16/2023,0.5,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,4/2/2023,1.0,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,3/4/2023,2.0,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,5/19/2023,2.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,6/10/2023,1.0,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,3/15/2023,2.0,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,5/12/2023,1.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,5/4/2023,0.5,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,2/6/2023,1.0,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,5/18/2023,1.0,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,3/7/2023,0.5,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,9/22/2022,0.5,'Earned leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,10/21/2022,0.5,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,11/10/2022,1.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,7/26/2022,1.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,9/27/2022,2.0,'Casual Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,10/5/2022,1.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,12/5/2022,2.0,'Sick Leave','Rebecca Davis',Security
'Sherlock Mc Gaughey',male,7/7/2022,2.0,'Earned leave','Rebecca Davis',Security
'Stormie Carek',male,2/8/2022,2.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,5/2/2022,1.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,4/9/2022,0.5,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2/23/2022,1.0,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,1/26/2022,1.0,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,4/20/2022,1.0,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2/12/2022,1.0,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,6/18/2022,1.0,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,4/14/2023,0.5,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,4/17/2023,2.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,3/23/2023,1.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,5/20/2023,1.0,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,4/11/2023,1.0,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,5/14/2023,0.5,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,8/6/2022,2.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,11/2/2022,0.5,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,8/21/2022,2.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,8/3/2022,1.0,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,8/16/2022,2.0,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,7/5/2022,1.0,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,12/4/2022,1.0,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,9/1/2022,2.0,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,11/16/2022,2.0,'Sick Leave','Rebecca Davis',Finance
'Marcelo Swinley',female,6/20/2022,0.5,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/31/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/27/2022,2.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/1/2022,0.5,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,4/15/2022,2.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,3/20/2022,2.0,'Earned leave','Brenda Jefferson',IT
